"SubGrup proced";"Jan/2016";"Fev/2016";"Mar/2016";"Abr/2016";"Mai/2016";"Jun/2016";"Jul/2016";"Ago/2016";"Set/2016";"Out/2016";"Nov/2016";"Dez/2016";"Jan/2017";"Fev/2017";"Mar/2017";"Abr/2017";"Mai/2017";"Jun/2017";"Jul/2017";"Ago/2017";"Set/2017";"Out/2017";"Nov/2017";"Dez/2017";"Jan/2018";"Fev/2018";"Mar/2018";"Abr/2018";"Mai/2018";"Jun/2018";"Jul/2018";"Ago/2018";"Set/2018";"Out/2018";"Nov/2018";"Dez/2018";"Jan/2019";"Fev/2019";"Mar/2019";"Abr/2019";"Mai/2019";"Jun/2019";"Jul/2019";"Ago/2019";"Set/2019";"Out/2019";"Nov/2019";"Dez/2019";"Total"
"0301 Consultas / Atendimentos / Acompanhamentos";13422;14357;17124;18437;23801;24194;22213;18600;18315;23822;19956;15249;21215;17021;23457;15494;19622;22603;18882;33334;19287;16764;16115;18237;10014;21515;18848;22791;16233;19996;13387;20618;20709;25317;22065;19463;21751;16204;18726;20919;19733;18611;17551;21005;24547;21920;21832;22416;947692
"0302 Fisioterapia";112;106;266;543;451;406;359;272;121;261;271;172;142;133;344;275;440;680;574;951;1682;980;751;726;279;419;805;719;1089;693;528;417;71;617;338;595;226;289;283;304;780;513;273;289;336;332;334;277;21824
"0303 Tratamentos clinicos (outras especialidades)";233;142;209;174;366;176;564;109;285;161;34;154;193;57;171;41;104;101;52;275;421;300;336;156;185;147;438;110;176;284;280;207;278;403;277;197;223;351;192;485;364;149;97;106;289;120;99;203;10474
"0304 Tratamento em oncologia";569;631;684;839;688;736;734;764;756;755;774;795;690;552;365;659;584;796;711;687;697;307;1031;703;750;735;731;774;807;768;802;804;821;826;817;816;810;792;764;769;817;867;806;825;770;782;792;791;35543
"0305 Tratamento em nefrologia";681;690;774;744;757;724;752;690;604;602;626;698;708;612;678;668;763;773;708;717;687;731;757;760;810;767;804;809;805;819;819;776;795;884;806;885;861;754;889;820;874;868;855;844;839;876;856;843;36862
"0306 Hemoterapia";15;0;11;14;25;4;28;2;0;2;2;4;7;0;14;5;2;16;0;16;8;2;37;11;15;5;8;17;5;24;21;11;6;43;21;4;46;41;34;66;73;43;3;1;42;4;2;33;793
"0309 Terapias especializadas";0;63;96;232;230;105;26;42;16;92;80;72;88;63;187;84;186;134;53;200;95;52;93;40;33;178;141;24;9;33;0;10;12;0;53;0;8;5;0;2;2;13;2;3;0;0;2;27;2886
"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";193;214;106;252;252;255;289;246;316;326;339;286;275;227;289;189;205;167;127;203;100;105;55;143;32;74;39;118;110;704;186;203;709;948;234;142;520;443;551;892;915;60;417;800;722;1182;744;220;16124
"0403 Cirurgia do sistema nervoso central e periferico";47;66;1378;32;31;57;0;0;17;129;13;26;52;15;34;13;20;13;6;0;0;0;0;0;0;3;0;10;13;0;14;0;36;0;23;43;30;15;30;7;10;0;3;0;13;0;0;0;2199
"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";0;5;3;8;5;10;7;4;9;2;7;13;0;5;6;6;6;29;0;25;5;10;1;6;3;1;1;9;1;4;1;12;7;3;6;3;0;0;0;3;0;0;0;1;0;1;0;0;228
"0405 Cirurgia do aparelho da visao";25;40;34;17;28;69;35;58;10;80;23;12;3;5;45;3;14;20;22;45;23;32;13;42;2;28;0;5;25;78;25;25;95;42;93;70;18;24;30;76;87;57;99;75;96;98;108;170;2124
"0406 Cirurgia do aparelho circulatorio";0;3;1;0;1;1;6;1;0;1;0;0;0;0;0;0;0;1;0;10;0;1;0;4;1;7;0;0;1;2;3;0;2;0;2;2;0;0;1;4;4;0;4;2;5;2;3;2;77
"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";9;2;5;3;7;13;6;12;3;1;1;0;1;2;6;3;2;5;1;5;4;1;0;2;1;0;1;4;0;4;0;2;3;9;6;8;3;14;4;10;3;1;9;19;10;15;8;12;240
"0408 Cirurgia do sistema osteomuscular";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;3;0;0;0;4;5;0;0;0;17
"0409 Cirurgia do aparelho geniturinario";2;2;3;5;3;8;5;2;9;3;6;14;19;5;10;5;2;3;4;13;7;15;15;18;4;4;11;7;9;12;4;9;11;3;5;9;0;2;5;6;9;4;2;12;11;6;10;10;343
"0410 Cirurgia de mama";0;0;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;1;0;1;1;1;3;0;0;2;0;0;3;3;1;3;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;27
"0413 Cirurgia reparadora";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
"0415 Outras cirurgias";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7
"0418 Cirurgia em nefrologia";1;35;25;30;23;22;24;21;19;17;15;16;22;15;30;23;23;24;25;16;23;16;12;21;13;19;8;16;16;12;19;12;15;19;23;13;23;14;26;19;23;17;14;23;20;19;18;20;919
"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;13;5;5;5;8;8;8;5;11;13;11;97
"0506 Acompanhamento e intercorrencias no pre e pos-transplante";7;111;62;62;62;62;63;63;58;56;63;63;63;60;63;57;63;63;63;63;63;63;0;44;139;63;63;63;63;63;59;63;63;36;0;56;124;58;61;61;61;60;60;60;61;59;58;59;2910
"0701 orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";4;2;1;3;1;2;2;1;0;6;0;2;3;2;2;3;4;4;0;5;2;4;0;0;1;1;2;6;0;0;6;0;8;3;0;6;0;6;0;3;6;5;2;2;4;2;3;2;121
"0702 orteses, proteses e materiais especiais relacionados ao ato cirurgico";15;45;46;41;41;38;70;42;37;31;20;32;39;35;48;58;44;50;49;25;65;25;11;51;17;23;13;8;19;12;34;8;14;18;55;17;70;18;52;28;47;43;20;67;31;41;35;38;1686
"Total";60154;58490;69518;62768;66437;67469;62777;63744;61594;63408;50219;47011;68530;54871;63415;46058;64729;66139;63597;81708;64863;61337;54067;45043;53827;60214;67771;75295;62862;68279;58933;77012;71906;85307;67901;66602;75436;67811;66168;75922;78173;60461;71989;79547;77709;73162;69911;63797;3143941
