"SubGrup proced";"Jan/2008";"Fev/2008";"Mar/2008";"Abr/2008";"Mai/2008";"Jun/2008";"Jul/2008";"Ago/2008";"Set/2008";"Out/2008";"Nov/2008";"Dez/2008";"Jan/2009";"Fev/2009";"Mar/2009";"Abr/2009";"Mai/2009";"Jun/2009";"Jul/2009";"Ago/2009";"Set/2009";"Out/2009";"Nov/2009";"Dez/2009";"Jan/2010";"Fev/2010";"Mar/2010";"Abr/2010";"Mai/2010";"Jun/2010";"Jul/2010";"Ago/2010";"Set/2010";"Out/2010";"Nov/2010";"Dez/2010";"Jan/2011";"Fev/2011";"Mar/2011";"Abr/2011";"Mai/2011";"Jun/2011";"Jul/2011";"Ago/2011";"Set/2011";"Out/2011";"Nov/2011";"Dez/2011";"Total"
"0305 Tratamento em nefrologia";789;804;792;833;740;765;697;798;768;786;756;710;801;725;750;705;699;693;728;744;713;681;623;661;676;591;666;642;562;537;632;597;388;405;397;394;408;480;608;539;580;566;605;618;644;783;648;725;31452
"0306 Hemoterapia";0;0;0;18;0;7;13;0;88;77;88;89;61;54;45;73;62;26;101;165;123;27;11;57;182;26;74;94;47;0;38;12;45;18;36;31;43;0;83;29;13;44;34;6;8;0;4;16;2068
"0309 Terapias especializadas";13;0;12;31;21;0;16;12;13;46;12;7;36;78;333;264;358;340;233;2575;373;254;15;16;21;799;127;137;88;0;104;35;120;79;72;81;16;0;102;78;117;144;135;19;126;87;49;70;7664
"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";70;0;92;116;118;53;1139;453;503;587;220;598;436;364;669;426;577;419;522;768;596;574;222;618;452;243;575;624;963;54;495;595;496;453;448;469;424;0;1052;593;524;510;416;64;540;418;503;268;21319
"0403 Cirurgia do sistema nervoso central e periferico";23;0;0;0;0;0;0;0;10;13;0;0;9;13;37;34;40;35;8;26;2;9;9;6;11;30;23;0;22;0;37;23;26;0;0;10;0;0;34;24;20;21;38;0;23;23;0;14;653
"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";0;0;2;5;6;2;9;4;19;0;2;1;2;1;7;7;9;3;3;2;2;5;1;2;2;4;0;0;0;0;0;1;0;0;0;2;0;0;6;0;0;0;1;6;2;3;1;0;122
"0405 Cirurgia do aparelho da visao";13;23;75;72;92;47;86;28;100;137;60;30;19;27;89;47;52;84;89;70;87;105;74;19;55;55;92;88;68;23;64;38;23;54;88;21;40;25;83;46;31;53;56;80;61;3;69;30;2771
"0406 Cirurgia do aparelho circulatorio";9;0;17;12;13;9;8;19;16;10;1;14;6;14;16;11;15;4;7;17;15;9;19;13;10;7;16;16;14;4;10;4;9;11;3;5;7;0;13;7;5;10;2;11;6;0;11;5;460
"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";24;1;17;21;20;22;34;22;42;34;23;49;39;21;35;26;44;60;25;68;29;30;37;40;33;33;33;66;27;55;59;40;48;51;26;12;38;0;22;2;3;16;6;6;1;4;3;13;1360
"0408 Cirurgia do sistema osteomuscular";3;0;10;1;11;1;2;36;11;6;1;8;2;0;1;0;3;8;2;4;7;3;3;5;4;3;2;4;2;3;4;0;1;1;2;0;1;0;1;0;2;0;0;1;1;0;1;2;163
"0409 Cirurgia do aparelho geniturinario";10;0;1;2;0;0;0;4;39;22;4;4;2;4;6;6;6;7;2;13;7;5;10;7;4;6;13;8;9;3;9;2;11;5;2;11;5;0;15;14;6;8;5;1;5;3;6;6;318
"0410 Cirurgia de mama";0;0;0;0;1;0;1;1;0;1;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12
"0411 Cirurgia obstetrica";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"0412 Cirurgia toracica";0;0;0;0;0;1;0;0;1;3;1;3;2;1;1;2;6;8;2;8;5;5;6;8;2;0;6;1;1;0;4;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;81
"0413 Cirurgia reparadora";0;0;1;0;0;0;0;1;4;0;0;0;0;0;2;0;0;1;1;1;2;1;0;0;1;3;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
"0414 Bucomaxilofacial";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"0415 Outras cirurgias";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7
"0417 Anestesiologia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;4;4;1;0;5;6;0;0;1;1;27
"0418 Cirurgia em nefrologia";3;21;16;30;19;10;14;21;20;19;23;10;35;7;13;7;6;6;3;8;3;6;7;3;6;3;4;6;0;0;0;15;7;15;7;7;14;25;37;25;13;12;12;24;28;41;19;38;668
"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";0;0;29;31;0;28;41;27;10;13;40;5;1;16;0;0;0;0;6;47;0;20;33;12;1;0;0;6;6;0;3;5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;383
"0506 Acompanhamento e intercorrencias no pre e pos-transplante";63;0;170;135;80;48;87;186;93;96;101;79;56;59;101;29;43;58;53;40;49;40;57;23;46;21;43;22;18;34;105;125;151;59;68;86;61;107;133;72;90;115;79;82;122;74;75;145;3679
"0701 orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;10;3;6;2;2;0;4;6;1;1;2;0;0;5;0;0;5;2;0;5;3;4;6;5;2;0;85
"0702 orteses, proteses e materiais especiais relacionados ao ato cirurgico";21;20;19;17;18;0;14;14;15;15;16;18;107;21;0;13;9;9;0;21;3;15;7;3;15;9;12;17;0;6;54;39;18;17;27;13;25;50;69;49;48;39;39;43;57;78;48;58;1225
"Total";14701;2130;83482;87868;91019;74212;99192;97564;115498;108906;102510;87357;24859;148861;77856;72461;79013;73867;65199;85364;73308;103835;70874;47761;27398;109820;83943;85096;82487;36499;64149;78818;60167;66652;68633;33692;34987;1927;125545;62163;73339;70263;72067;54909;70238;62970;68037;57068;3438564
